GEOID,GEOID_5,state_code,state_abbr,state_name,county_code,county_name,county_name_2010,2010_density,2010_diversity_index,2010_pop,2010_pop_hisp,2010_pop_white_non_hisp,2010_pop_black_non_hisp,2010_pop_aian_non_hisp,2010_pop_asian_non_hisp,2010_pop_nhpi_non_hisp,2010_pop_other_non_hisp,2010_pop_two_plus_non_hisp,2010_vap,2010_vap_hisp,2010_vap_white_non_hisp,2010_vap_black_non_hisp,2010_vap_aian_non_hisp,2010_vap_asian_non_hisp,2010_vap_nhpi_non_hisp,2010_vap_other_non_hisp,2010_vap_two_plus_non_hisp,2010_u18,2010_u18_hisp,2010_u18_white_non_hisp,2010_u18_black_non_hisp,2010_u18_aian_non_hisp,2010_u18_asian_non_hisp,2010_u18_nhpi_non_hisp,2010_u18_other_non_hisp,2010_u18_two_plus_non_hisp,2010_gq,2010_gq_inst,2010_gq_inst_correctional,2010_gq_inst_juvenile,2010_gq_inst_nurse,2010_gq_inst_other,2010_gq_noninst,2010_gq_noninst_college,2010_gq_noninst_military,2010_gq_noninst_other,2010_prop_gq_inst_correctional_of_pop,2010_hu,2010_hu_occupied,2010_hu_vacant,2010_vacancy_rate,2010_land_area_sqmeters,2010_land_area_sqmi,2010_water_area_sqmeters,2020_density,2020_diversity_index,2020_pop,2020_pop_hisp,2020_pop_white_non_hisp,2020_pop_black_non_hisp,2020_pop_aian_non_hisp,2020_pop_asian_non_hisp,2020_pop_nhpi_non_hisp,2020_pop_other_non_hisp,2020_pop_two_plus_non_hisp,2020_vap,2020_vap_hisp,2020_vap_white_non_hisp,2020_vap_black_non_hisp,2020_vap_aian_non_hisp,2020_vap_asian_non_hisp,2020_vap_nhpi_non_hisp,2020_vap_other_non_hisp,2020_vap_two_plus_non_hisp,2020_u18,2020_u18_hisp,2020_u18_white_non_hisp,2020_u18_black_non_hisp,2020_u18_aian_non_hisp,2020_u18_asian_non_hisp,2020_u18_nhpi_non_hisp,2020_u18_other_non_hisp,2020_u18_two_plus_non_hisp,2020_gq,2020_gq_inst,2020_gq_inst_correctional,2020_gq_inst_juvenile,2020_gq_inst_nurse,2020_gq_inst_other,2020_gq_noninst,2020_gq_noninst_college,2020_gq_noninst_military,2020_gq_noninst_other,2020_prop_gq_inst_correctional_of_pop,2020_hu,2020_hu_occupied,2020_hu_vacant,2020_vacancy_rate,2020_land_area_sqmeters,2020_land_area_sqmi,2020_water_area_sqmeters,raw_change_density,raw_change_diversity_index,raw_change_pop,raw_change_pop_hisp,raw_change_pop_white_non_hisp,raw_change_pop_black_non_hisp,raw_change_pop_aian_non_hisp,raw_change_pop_asian_non_hisp,raw_change_pop_nhpi_non_hisp,raw_change_pop_other_non_hisp,raw_change_pop_two_plus_non_hisp,raw_change_vap,raw_change_vap_hisp,raw_change_vap_white_non_hisp,raw_change_vap_black_non_hisp,raw_change_vap_aian_non_hisp,raw_change_vap_asian_non_hisp,raw_change_vap_nhpi_non_hisp,raw_change_vap_other_non_hisp,raw_change_vap_two_plus_non_hisp,raw_change_u18,raw_change_u18_hisp,raw_change_u18_white_non_hisp,raw_change_u18_black_non_hisp,raw_change_u18_aian_non_hisp,raw_change_u18_asian_non_hisp,raw_change_u18_nhpi_non_hisp,raw_change_u18_other_non_hisp,raw_change_u18_two_plus_non_hisp,raw_change_gq,raw_change_gq_inst,raw_change_gq_inst_correctional,raw_change_gq_inst_juvenile,raw_change_gq_inst_nurse,raw_change_gq_inst_other,raw_change_gq_noninst,raw_change_gq_noninst_college,raw_change_gq_noninst_military,raw_change_gq_noninst_other,raw_change_prop_gq_inst_correctional_of_pop,raw_change_hu,raw_change_hu_occupied,raw_change_hu_vacant,raw_change_vacancy_rate,raw_change_land_area_meters,raw_change_land_area_sqmi,raw_change_water_area_meters,prop_change_density,prop_change_pop,prop_change_pop_hisp,prop_change_pop_white_non_hisp,prop_change_pop_black_non_hisp,prop_change_pop_aian_non_hisp,prop_change_pop_asian_non_hisp,prop_change_pop_nhpi_non_hisp,prop_change_pop_other_non_hisp,prop_change_pop_two_plus_non_hisp,prop_change_vap,prop_change_vap_hisp,prop_change_vap_white_non_hisp,prop_change_vap_black_non_hisp,prop_change_vap_aian_non_hisp,prop_change_vap_asian_non_hisp,prop_change_vap_nhpi_non_hisp,prop_change_vap_other_non_hisp,prop_change_vap_two_plus_non_hisp,prop_change_u18,prop_change_u18_hisp,prop_change_u18_white_non_hisp,prop_change_u18_black_non_hisp,prop_change_u18_aian_non_hisp,prop_change_u18_asian_non_hisp,prop_change_u18_nhpi_non_hisp,prop_change_u18_other_non_hisp,prop_change_u18_two_plus_non_hisp,prop_change_gq,prop_change_gq_inst,prop_change_gq_inst_correctional,prop_change_gq_inst_juvenile,prop_change_gq_inst_nurse,prop_change_gq_inst_other,prop_change_gq_noninst,prop_change_gq_noninst_college,prop_change_gq_noninst_military,prop_change_gq_noninst_other,prop_change_hu,prop_change_hu_occupied,prop_change_hu_vacant,prop_change_land_area_sqmi,flag_prop_change_land_area
0500000US01001,01001,01,AL,Alabama,001,Autauga County,Autauga County,91.80297614987225,37,54571,1310,42154,9595,217,467,22,45,761,39958,828,31461,6738,169,341,15,22,384,14613,482,10693,2857,48,126,7,23,377,455,362,181,0,181,0,93,0,0,93,0.33,22135,20221,1914,8.65,1539582278,594.4360661130477,25775735,98.92235826065551,46,58805,2117,41582,11352,184,873,22,185,2490,44523,1339,32408,8316,154,633,17,114,1542,14282,778,9174,3036,30,240,5,71,948,487,408,142,6,260,0,79,0,0,79,0.24,24350,22412,1938,7.96,1539634184,594.4561071325427,25674812,7.119382110783263,9,4234,807,-572,1757,-33,406,0,140,1729,4565,511,947,1578,-15,292,2,92,1158,-331,296,-1519,179,-18,114,-2,48,571,32,46,-39,6,79,0,-14,0,0,-14,-0.09000000000000002,2215,2191,24,-0.6900000000000004,51906,0.020041019495010914,-100923,7.76,7.76,61.6,-1.36,18.31,-15.21,86.94,0,311.11,227.2,11.42,61.71,3.01,23.42,-8.88,85.63,13.33,418.18,301.56,-2.27,61.41,-14.21,6.27,-37.5,90.48,-28.57,208.7,151.46,7.03,12.71,-21.55,Inf,43.65,NA,-15.05,NA,NA,-15.05,10.01,10.84,1.25,0,0
0500000US01003,01003,01,AL,Alabama,003,Baldwin County,Baldwin County,114.64764667145302,29,182265,7992,152200,16966,1146,1340,79,245,2297,140367,5186,119671,12193,876,994,62,141,1244,41898,2806,32529,4773,270,346,17,104,1053,2307,1744,1050,48,646,0,563,376,0,187,0.58,104061,73180,30881,29.68,4117521611,1589.7840495786081,1133190229,145.78044396756107,34,231767,12686,186495,18001,1291,2029,122,775,10368,182471,8197,150877,13464,1048,1557,84,538,6706,49296,4489,35618,4537,243,472,38,237,3662,3552,2761,1229,74,1212,246,791,309,0,482,0.53,124148,93116,31032,25,4117656199,1589.8360142981358,1132956041,31.132797296108052,5,49502,4694,34295,1035,145,689,43,530,8071,42104,3011,31206,1271,172,563,22,397,5462,7398,1683,3089,-236,-27,126,21,133,2609,1245,1017,179,26,566,246,228,-67,0,295,-0.04999999999999993,20087,19936,151,-4.68,134588,0.05196471952763204,-234188,27.16,27.16,58.73,22.53,6.1,12.65,51.42,54.43,216.33,351.37,30,58.06,26.08,10.42,19.63,56.64,35.48,281.56,439.07,17.66,59.98,9.5,-4.94,-10,36.42,123.53,127.88,247.77,53.97,58.31,17.05,54.17,87.62,Inf,40.5,-17.82,NA,157.75,19.3,27.24,0.49,0,0
0500000US01005,01005,01,AL,Alabama,005,Barbour County,Barbour County,31.029196244962748,56,27457,1387,12837,12820,60,107,24,13,209,21442,925,10624,9605,47,80,21,5,135,6015,462,2213,3215,13,27,3,8,74,3193,3193,3044,0,149,0,0,0,0,0,11.09,11829,9820,2009,16.98,2291818968,884.8762882299069,50864716,28.500306731403697,58,25223,1510,11086,11850,58,103,0,63,553,20134,934,9456,9218,49,85,0,36,356,5089,576,1630,2632,9,18,0,27,197,2717,2672,2517,0,155,0,45,0,0,45,9.98,11618,9677,1941,16.71,2292160149,885.0080189560724,50523213,-2.528889513559051,2,-2234,123,-1751,-970,-2,-4,-24,50,344,-1308,9,-1168,-387,2,5,-21,31,221,-926,114,-583,-583,-4,-9,-3,19,123,-476,-521,-527,0,6,0,45,0,0,45,-1.1099999999999994,-211,-143,-68,-0.2699999999999996,341181,0.13173072616552872,-341503,-8.15,-8.14,8.87,-13.64,-7.57,-3.33,-3.74,-100,384.62,164.59,-6.1,0.97,-10.99,-4.03,4.26,6.25,-100,620,163.7,-15.39,24.68,-26.34,-18.13,-30.77,-33.33,-100,237.5,166.22,-14.91,-16.32,-17.31,NA,4.03,NA,Inf,NA,NA,Inf,-1.78,-1.46,-3.38,0.01,0
0500000US01007,01007,01,AL,Alabama,007,Bibb County,Bibb County,36.806376500650515,39,22915,406,17191,5024,64,22,7,20,181,17714,310,13247,3963,47,14,5,8,120,5201,96,3944,1061,17,8,2,12,61,2224,2194,2007,70,117,0,30,0,0,30,8.76,8981,7953,1028,11.45,1612480789,622.5823397637364,9289057,35.8137988903938,42,22293,740,16442,4390,39,26,9,47,600,17533,463,13055,3549,37,18,9,22,380,4760,277,3387,841,2,8,0,25,220,2140,2101,1856,10,235,0,39,0,0,39,8.33,9002,7927,1075,11.94,1612188717,622.4695701292825,9572303,-0.992577610256717,3,-622,334,-749,-634,-25,4,2,27,419,-181,153,-192,-414,-10,4,4,14,260,-441,181,-557,-220,-15,0,-2,13,159,-84,-93,-151,-60,118,0,9,0,0,9,-0.4299999999999997,21,-26,47,0.4900000000000002,-292072,-0.11276963445391175,283246,-2.7,-2.71,82.27,-4.36,-12.62,-39.06,18.18,28.57,135,231.49,-1.02,49.35,-1.45,-10.45,-21.28,28.57,80,175,216.67,-8.48,188.54,-14.12,-20.74,-88.24,0,-100,108.33,260.66,-3.78,-4.24,-7.52,-85.71,100.85,NA,30,NA,NA,30,0.23,-0.33,4.57,-0.02,0
0500000US01009,01009,01,AL,Alabama,009,Blount County,Blount County,88.90220557522855,20,57322,4626,50952,724,285,115,18,35,567,43216,2724,39285,524,212,89,14,17,351,14106,1902,11667,200,73,26,4,18,216,489,409,129,0,280,0,80,0,0,80,0.23,23887,21578,2309,9.67,1669961855,644.7759043671244,15157440,91.69616337307286,28,59134,5771,49764,826,188,174,11,100,2300,45403,3534,39278,642,153,121,11,74,1590,13731,2237,10486,184,35,53,0,26,710,613,411,91,0,320,0,202,0,0,202,0.15,24622,22367,2255,9.16,1670259090,644.8906674471078,14860281,2.793957797844314,8,1812,1145,-1188,102,-97,59,-7,65,1733,2187,810,-7,118,-59,32,-3,57,1239,-375,335,-1181,-16,-38,27,-4,8,494,124,2,-38,0,40,0,122,0,0,122,-0.08000000000000002,735,789,-54,-0.5099999999999998,297235,0.11476307998339053,-297159,3.14,3.16,24.75,-2.33,14.09,-34.04,51.3,-38.89,185.71,305.64,5.06,29.74,-0.02,22.52,-27.83,35.96,-21.43,335.29,352.99,-2.66,17.61,-10.12,-8,-52.05,103.85,-100,44.44,228.7,25.36,0.49,-29.46,NA,14.29,NA,152.5,NA,NA,152.5,3.08,3.66,-2.34,0.02,0
0500000US01011,01011,01,AL,Alabama,011,Bullock County,Bullock County,17.523950298579205,46,10914,777,2392,7637,20,20,4,5,59,8484,485,2102,5821,18,17,3,2,36,2430,292,290,1816,2,3,1,3,23,1690,1642,1528,0,114,0,48,0,0,48,14,4493,3745,748,16.65,1613056905,622.8047794043833,6056528,16.629335223358286,44,10357,503,2281,7388,1,9,7,31,137,8356,273,2075,5885,1,5,3,19,95,2001,230,206,1503,0,4,4,12,42,1704,1683,1580,0,103,0,21,0,0,21,15.26,4516,3928,588,13.02,1613083467,622.8150350503554,6030667,-0.8946150752209192,-2,-557,-274,-111,-249,-19,-11,3,26,78,-128,-212,-27,64,-17,-12,0,17,59,-429,-62,-84,-313,-2,1,3,9,19,14,41,52,0,-11,0,-27,0,0,-27,1.2599999999999998,23,183,-160,-3.629999999999999,26562,0.010255645972051752,-25861,-5.11,-5.1,-35.26,-4.64,-3.26,-95,-55,75,520,132.2,-1.51,-43.71,-1.28,1.1,-94.44,-70.59,0,850,163.89,-17.65,-21.23,-28.97,-17.24,-100,33.33,300,300,82.61,0.83,2.5,3.4,NA,-9.65,NA,-56.25,NA,NA,-56.25,0.51,4.89,-21.39,0,0
0500000US01013,01013,01,AL,Alabama,013,Butler County,Butler County,26.96476226828875,52,20947,191,11324,9047,59,174,7,3,142,15891,130,9062,6468,43,117,3,1,67,5056,61,2262,2579,16,57,4,2,75,333,305,38,0,267,0,28,0,0,28,0.18,9964,8491,1473,14.78,2011976894,776.8286548045783,2726814,24.52375693365549,55,19051,260,9679,8389,23,143,5,46,506,14903,178,7953,6299,23,115,5,19,311,4148,82,1726,2090,0,28,0,27,195,281,252,54,0,198,0,29,0,0,29,0.28,9806,8170,1636,16.68,2012002546,776.8385590975711,2701199,-2.4410053346332603,3,-1896,69,-1645,-658,-36,-31,-2,43,364,-988,48,-1109,-169,-20,-2,2,18,244,-908,21,-536,-489,-16,-29,-4,25,120,-52,-53,16,0,-69,0,1,0,0,1,0.10000000000000003,-158,-321,163,1.9000000000000004,25652,0.00990429299281459,-25615,-9.05,-9.05,36.13,-14.53,-7.27,-61.02,-17.82,-28.57,1433.33,256.34,-6.22,36.92,-12.24,-2.61,-46.51,-1.71,66.67,1800,364.18,-17.96,34.43,-23.7,-18.96,-100,-50.88,-100,1250,160,-15.62,-17.38,42.11,NA,-25.84,NA,3.57,NA,NA,3.57,-1.59,-3.78,11.07,0,0
0500000US01015,01015,01,AL,Alabama,015,Calhoun County,Calhoun County,195.7061019472024,42,118572,3893,87285,24177,480,830,94,109,1704,91446,2473,69294,17621,409,653,69,42,885,27126,1420,17991,6556,71,177,25,67,819,2919,1263,469,136,461,197,1656,1405,0,251,0.4,53289,47331,5958,11.18,1569189995,605.8676700432588,16624267,192.18195764137133,48,116441,5010,79519,25365,386,1164,112,317,4568,92289,3229,64795,19748,333,985,83,173,2943,24152,1781,14724,5617,53,179,29,144,1625,5620,2066,1024,180,862,0,3554,3345,0,209,0.88,53052,46437,6615,12.47,1569246127,605.8893427305454,16536293,-3.524144305831072,6,-2131,1117,-7766,1188,-94,334,18,208,2864,843,756,-4499,2127,-76,332,14,131,2058,-2974,361,-3267,-939,-18,2,4,77,806,2701,803,555,44,401,-197,1898,1940,0,-42,0.48,-237,-894,657,1.290000000000001,56132,0.021672687286582004,-87974,-1.8,-1.8,28.69,-8.9,4.91,-19.58,40.24,19.15,190.83,168.08,0.92,30.57,-6.49,12.07,-18.58,50.84,20.29,311.9,232.54,-10.96,25.42,-18.16,-14.32,-25.35,1.13,16,114.93,98.41,92.53,63.58,118.34,32.35,86.98,-100,114.61,138.08,NA,-16.73,-0.44,-1.89,11.03,0,0
0500000US01017,01017,01,AL,Alabama,017,Chambers County,Chambers County,57.356574133513845,51,34215,536,19893,13206,57,166,7,23,327,26512,364,16037,9761,48,136,3,10,153,7703,172,3856,3445,9,30,4,13,174,458,344,137,0,207,0,114,0,0,114,0.4,17004,13933,3071,18.06,1545009282,596.5314441611313,17048142,58.28742606734058,56,34772,1237,18616,13441,71,385,11,115,896,27791,823,15456,10484,63,341,8,55,561,6981,414,3160,2957,8,44,3,60,335,874,504,126,0,378,0,370,329,0,41,0.36,16373,14238,2135,13.04,1545085601,596.5609110930244,16971700,0.9308519338267374,5,557,701,-1277,235,14,219,4,92,569,1279,459,-581,723,15,205,5,45,408,-722,242,-696,-488,-1,14,-1,47,161,416,160,-11,0,171,0,256,329,0,-73,-0.040000000000000036,-631,305,-936,-5.02,76319,0.029466931893125548,-76442,1.62,1.63,130.78,-6.42,1.78,24.56,131.93,57.14,400,174.01,4.82,126.1,-3.62,7.41,31.25,150.74,166.67,450,266.67,-9.37,140.7,-18.05,-14.17,-11.11,46.67,-25,361.54,92.53,90.83,46.51,-8.03,NA,82.61,NA,224.56,Inf,NA,-64.04,-3.71,2.19,-30.48,0,0
0500000US01019,01019,01,AL,Alabama,019,Cherokee County,Cherokee County,46.93698268779003,15,25989,320,23929,1206,122,49,1,15,347,20423,171,19005,909,99,32,1,5,201,5566,149,4924,297,23,17,0,10,146,290,283,80,0,203,0,7,0,0,7,0.31,16267,10626,5641,34.68,1434075952,553.6998441691621,119858898,45.1127579150373,18,24971,400,22563,987,109,55,1,46,810,20169,246,18400,825,88,46,1,19,544,4802,154,4163,162,21,9,0,27,266,293,278,115,0,163,0,15,0,0,15,0.46,14513,10411,4102,28.26,1433620850,553.5241282971195,120310807,-1.8242247727527285,3,-1018,80,-1366,-219,-13,6,0,31,463,-254,75,-605,-84,-11,14,0,14,343,-764,5,-761,-135,-2,-8,0,17,120,3,-5,35,0,-40,0,8,0,0,8,0.15000000000000002,-1754,-215,-1539,-6.419999999999998,-455102,-0.17571587204258776,451909,-3.89,-3.92,25,-5.71,-18.16,-10.66,12.24,0,206.67,133.43,-1.24,43.86,-3.18,-9.24,-11.11,43.75,0,280,170.65,-13.73,3.36,-15.45,-45.45,-8.7,-47.06,NA,170,82.19,1.03,-1.77,43.75,NA,-19.7,NA,114.29,NA,NA,114.29,-10.78,-2.02,-27.28,-0.03,0
