"DISTRICT COURT OF MARYLAND - CIVIL CASE ACTIVITY REPORTJanuary 2019",,,,,,,,,,,,,,,,,,,
"",Landlord-Tenant Cases,Civil Filings*,Civil Dispositions*,,Other Events,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,Notices of,,
District,County,Filed,"DefendantAppeared",Dismissed,Cases,Complaints,"UncontestedJudgments**","ContestedJudgments**(Trials)","TotalJudgments**","Dismissalsat/beforeTrial***","3-507Dismissals***","Jury TrialsPrayed***","SatisfiedJudgments",Writs,"Aids ofExecution","SummonsRenewals","Lien toCircuitCourt","Appeals deNovo","Appeals onthe Record"
"",,,,,,,,,,,,,,,,,,,
1-0,Baltimore City,"13,290",733,"3,555","2,268",-,"1,839",720,"2,559",914,238,5,572,"1,519",136,"1,840","1,359",4,5
"",,,,,,,,,,,,,,,,,,,
2-1,Dorchester,266,45,73,117,-,51,10,61,19,133,0,64,84,3,43,13,0,0
2-2,Somerset,385,25,156,67,-,38,2,40,11,5,1,64,77,7,21,18,1,0
2-3,Wicomico,"1,066",69,376,629,-,260,12,272,117,215,0,460,456,88,242,67,0,0
2-4,Snow Hill,115,11,51,146,-,116,7,123,40,110,1,110,50,9,40,39,0,0
2-5,Ocean City,16,18,3,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0
"",,,,,,,,,,,,,,,,,,,
"",Total District 2,"1,848",168,659,959,0,465,31,496,187,463,2,698,667,107,346,137,1,0
"",,,,,,,,,,,,,,,,,,,
3-2,Cecil,482,24,108,240,-,172,7,179,77,464,0,129,134,1,105,32,3,0
3-3,Kent,31,0,1,36,-,18,5,23,9,3,1,4,24,1,13,3,0,0
3-4,Queen Anne's,33,1,10,76,-,46,3,49,27,11,0,23,45,2,33,8,0,0
3-5,Talbot,70,15,27,84,-,38,1,39,28,7,0,37,56,0,25,9,0,0
3-6,Caroline,52,4,12,81,-,43,2,45,20,14,0,45,49,1,21,9,0,1
"",,,,,,,,,,,,,,,,,,,
"",Total District 3,668,44,158,517,0,317,18,335,161,499,1,238,308,5,197,61,3,1
"",,,,,,,,,,,,,,,,,,,
4-1,Calvert,107,12,35,153,-,140,9,149,93,79,0,69,59,10,63,13,0,0
4-2,Charles,765,64,409,418,-,340,22,362,190,244,0,261,298,23,282,76,2,0
4-3,St. Mary's,434,28,80,181,-,115,14,129,91,140,0,96,109,8,104,26,1,0
"",,,,,,,,,,,,,,,,,,,
"",Total District 4,"1,306",104,524,752,0,595,45,640,374,463,0,426,466,41,449,115,3,0
"",,,,,,,,,,,,,,,,,,,
5-0,Prince George's,"12,549",439,"1,958","3,021",-,"3,216",900,"4,116","1,640",534,10,"1,005","2,047",135,"1,500",296,7,9
"",,,,,,,,,,,,,,,,,,,
6-0,Montgomery,"4,517",100,594,"1,579",-,"1,637",458,"2,095",824,348,1,322,924,44,647,196,8,3
"",,,,,,,,,,,,,,,,,,,
7-0,Anne Arundel,"4,921",74,750,"1,263",-,554,116,670,474,254,1,542,704,88,747,140,1,0
"",,,,,,,,,,,,,,,,,,,
8-0,Baltimore County,"16,444",203,"4,161","3,023",-,"2,768",799,"3,567","1,155",248,4,776,"1,918",285,"2,352",97,8,8
"",,,,,,,,,,,,,,,,,,,
9-0,Harford,"1,350",77,164,635,-,248,13,261,249,0,3,256,290,88,298,58,0,0
"",,,,,,,,,,,,,,,,,,,
10-1,Howard,"2,142",76,878,548,-,272,36,308,225,100,3,181,249,31,264,43,0,0
10-2,Carroll,192,21,60,243,-,137,9,146,141,3,1,173,135,3,85,33,0,0
"",,,,,,,,,,,,,,,,,,,
"",Total District 10,"2,334",97,938,791,0,409,45,454,366,103,4,354,384,34,349,76,0,0
"",,,,,,,,,,,,,,,,,,,
11-1,Frederick,795,22,317,492,-,243,12,255,163,33,0,186,229,12,179,92,0,1
11-2,Washington,"1,026",47,177,361,-,173,13,186,86,139,0,101,176,29,147,39,3,0
"",,,,,,,,,,,,,,,,,,,
