"","DISTRICT COURT OF MARYLAND - LANDLORD/ TENANT CASE ACTIVITY REPORTJanuary 2022",,,,,,,,,,,,
"",District,County,Failure to Pay Rent Cases,"Tenant HoldingOver",Breach of Lease,Levy in Distress,"WrongfulDetainer","Grantor inPossession","Warrant ofRestitution*",Evictions*,Rent Escrow,,
"",,,Filed,"DefendantAppeared",Dismissed,,,,,,,,
"",,,,,,,,,,,,,
"",1-0,Baltimore City,"4,128",0,0,142,57,0,49,0,455,216,50
"",,,,,,,,,,,,,
"",2-1,Dorchester,39,5,2,0,3,0,0,0,14,5,0
"",2-2,Somerset,60,9,20,1,0,0,1,0,6,2,1
"",2-3,Wicomico,187,12,250,4,5,0,4,0,60,3,3
"",2-4,Snow Hill,8,2,3,2,1,0,1,0,3,2,1
"",2-5,Ocean City,7,6,3,3,1,0,0,0,2,2,1
"",,,,,,,,,,,,,
"",,Total District 2,301,34,278,10,10,0,6,0,85,14,6
"",,,,,,,,,,,,,
"",3-2,Cecil,76,0,0,4,4,0,7,0,16,13,1
"",3-3,Kent,1,0,0,0,2,0,0,0,0,0,0
"",3-4,Queen Anne's,2,0,0,0,0,0,5,0,4,3,0
"",3-5,Talbot,7,0,2,0,1,0,1,0,1,0,0
"",3-6,Caroline,7,2,0,2,2,0,1,0,3,1,0
"",,,,,,,,,,,,,
"",,Total District 3,93,2,2,6,9,0,14,0,24,17,1
"",,,,,,,,,,,,,
"",4-1,Calvert,23,0,0,1,0,0,1,0,1,1,0
"",4-2,Charles,106,0,0,8,1,0,5,0,41,7,0
"",4-3,St. Mary's,105,7,1,6,1,0,5,0,9,1,1
"",,,,,,,,,,,,,
"",,Total District 4,234,7,1,15,2,0,11,0,51,9,1
"",,,,,,,,,,,,,
"",5-0,Prince George's,"4,063",13,11,144,32,0,32,0,202,72,2
"",,,,,,,,,,,,,
"",6-0,Montgomery,"1,666",0,748,79,25,0,0,0,108,37,3
"",,,,,,,,,,,,,
"",7-0,Anne Arundel,569,0,0,19,9,0,4,9,72,4,4
"",,,,,,,,,,,,,
"",8-0,Baltimore County,"6,471",0,0,67,47,0,4,0,"1,506",138,22
"",,,,,,,,,,,,,
"",9-0,Harford,425,2,0,10,7,0,11,0,80,11,2
"",,,,,,,,,,,,,
"",10-1,Howard,573,0,0,4,5,0,5,0,78,30,0
"",10-2,Carroll,46,0,0,1,2,0,7,0,17,7,0
"",,,,,,,,,,,,,
"",,Total District 10,619,0,0,5,7,0,12,0,95,37,0
"",,,,,,,,,,,,,
"",11-1,Frederick,216,0,0,4,2,0,0,0,62,5,1
"",11-2,Washington,262,0,0,19,11,0,3,0,24,38,3
"",,,,,,,,,,,,,
"",,Total District 11,478,0,0,23,13,0,3,0,86,43,4
"",,,,,,,,,,,,,
"",12-1,Allegany,0,0,0,5,3,0,1,0,3,2,1
"",12-2,Garrett,0,0,0,1,0,0,1,0,0,0,0
"",,,,,,,,,,,,,
"",,Total District 12,0,0,0,6,3,0,2,0,3,2,1
"",,,,,,,,,,,,,
"","DISTRICT COURT OF MARYLAND - LANDLORD/ TENANT CASE ACTIVITY REPORTFebruary 2022",,,,,,,,,,,,
"",District,County,Failure to Pay Rent Cases,"Tenant HoldingOver",Breach of Lease,Levy in Distress,"WrongfulDetainer","Grantor inPossession","Warrant ofRestitution*",Evictions*,Rent Escrow,,
"",,,Filed,"DefendantAppeared",Dismissed,,,,,,,,
"",,,,,,,,,,,,,
"",1-0,Baltimore City,"3,581",0,0,144,66,0,56,0,120,179,31
"",,,,,,,,,,,,,
"",2-1,Dorchester,55,13,7,6,0,0,1,0,25,5,0
"",2-2,Somerset,67,12,48,0,0,0,1,0,21,6,2
"",2-3,Wicomico,441,31,161,2,4,0,2,0,45,20,3
"",2-4,Snow Hill,13,0,4,2,2,0,0,0,4,3,0
"",2-5,Ocean City,4,7,0,3,0,0,1,0,1,1,1
"",,,,,,,,,,,,,
"",,Total District 2,580,63,220,13,6,0,5,0,96,35,6
"",,,,,,,,,,,,,
"",3-2,Cecil,104,0,4,7,1,0,0,0,4,0,4
"",3-3,Kent,1,0,0,1,0,0,0,0,0,0,0
"",3-4,Queen Anne's,11,0,0,1,0,0,0,0,0,,0
"",3-5,Talbot,7,0,1,0,1,0,1,0,0,1,0
"",3-6,Caroline,13,2,0,4,0,0,0,0,2,2,0
"",,,,,,,,,,,,,
"",,Total District 3,136,2,5,13,2,0,1,0,6,3,4
"",,,,,,,,,,,,,
"",4-1,Calvert,22,0,0,3,5,0,2,0,2,0,0
"",4-2,Charles,285,0,0,4,3,0,0,0,16,3,1
"",4-3,St. Mary's,104,2,1,1,1,0,13,0,13,4,1
"",,,,,,,,,,,,,
"",,Total District 4,411,2,1,8,9,0,15,0,31,7,2
"",,,,,,,,,,,,,
"",5-0,Prince George's,"2,798",114,114,124,29,0,39,0,257,72,4
"",,,,,,,,,,,,,
"",6-0,Montgomery,"1,409",0,"1,752",49,18,0,0,0,30,10,7
"",,,,,,,,,,,,,
"",7-0,Anne Arundel,"1,031",0,0,19,2,0,13,0,109,29,3
"",,,,,,,,,,,,,
"",8-0,Baltimore County,"6,458",0,399,58,47,0,5,0,44,223,13
"",,,,,,,,,,,,,
"",9-0,Harford,469,15,11,19,7,0,8,0,5,14,4
"",,,,,,,,,,,,,
"",10-1,Howard,443,0,17,10,7,0,2,0,8,23,0
"",10-2,Carroll,58,0,26,4,2,0,5,0,7,7,0
"",,,,,,,,,,,,,
"",,Total District 10,501,0,43,14,9,0,7,0,15,30,0
"",,,,,,,,,,,,,
"",11-1,Frederick,282,0,0,7,7,0,0,0,2,3,0
"",11-2,Washington,361,0,39,17,14,1,5,0,21,27,2
"",,,,,,,,,,,,,
"",,Total District 11,643,0,39,24,21,1,5,0,23,30,2
"",,,,,,,,,,,,,
"",12-1,Allegany,0,0,0,3,3,0,3,0,2,3,0
"",12-2,Garrett,1,0,0,1,0,0,0,0,0,0,0
"",,,,,,,,,,,,,
"",,Total District 12,1,0,0,4,3,0,3,0,2,3,0
"",,,,,,,,,,,,,
"","DISTRICT COURT OF MARYLAND - LANDLORD/ TENANT CASE ACTIVITY REPORTMarch 2022",,,,,,,,,,,,
"",District,County,Failure to Pay Rent Cases,"Tenant HoldingOver",Breach of Lease,Levy in Distress,"WrongfulDetainer","Grantor inPossession","Warrant ofRestitution*",Evictions*,Rent Escrow,,
"",,,Filed,"DefendantAppeared",Dismissed,,,,,,,,
"",,,,,,,,,,,,,
"",1-0,Baltimore City,"5,637",115,"3,209",170,87,0,74,0,470,93,47
"",,,,,,,,,,,,,
"",2-1,Dorchester,72,9,12,3,1,0,1,0,15,12,1
"",2-2,Somerset,142,9,46,0,0,0,3,0,23,3,1
"",2-3,Wicomico,358,23,270,6,2,0,0,0,68,20,5
"",2-4,Snow Hill,22,1,14,3,1,0,2,0,4,3,0
"",2-5,Ocean City,7,8,1,3,0,0,0,0,5,1,0
"",,,,,,,,,,,,,
"",,Total District 2,601,50,343,15,4,0,6,0,115,39,7
"",,,,,,,,,,,,,
"",3-2,Cecil,192,33,231,20,0,0,0,0,51,12,3
"",3-3,Kent,0,4,1,0,0,0,0,0,2,0,0
"",3-4,Queen Anne's,14,2,20,1,1,0,2,0,5,0,0
"",3-5,Talbot,4,4,6,4,2,0,1,0,4,0,0
"",3-6,Caroline,13,10,20,2,1,0,2,0,7,2,1
"",,,,,,,,,,,,,
"",,Total District 3,223,53,278,27,4,0,5,0,69,14,4
"",,,,,,,,,,,,,
"",4-1,Calvert,18,11,29,4,2,0,0,0,9,0,1
"",4-2,Charles,216,26,262,10,4,0,11,0,27,2,1
"",4-3,St. Mary's,154,51,264,4,5,0,4,0,34,3,0
"",,,,,,,,,,,,,
"",,Total District 4,388,88,555,18,11,0,15,0,70,5,2
"",,,,,,,,,,,,,
"",5-0,Prince George's,"6,628",232,256,154,22,0,51,0,166,99,8
"",,,,,,,,,,,,,
"",6-0,Montgomery,"2,635",59,"1,093",67,29,0,1,0,37,14,6
"",,,,,,,,,,,,,
"",7-0,Anne Arundel,"1,944",196,743,24,13,0,0,0,106,14,7
"",,,,,,,,,,,,,
"",8-0,Baltimore County,"7,029",283,"6,275",51,42,0,7,0,939,164,20
"",,,,,,,,,,,,,
"",9-0,Harford,931,89,"1,382",17,4,0,14,0,85,85,4
"",,,,,,,,,,,,,
"",10-1,Howard,767,0,0,7,3,0,6,0,21,0,2
"",10-2,Carroll,103,31,85,2,3,0,6,0,26,3,0
"",,,,,,,,,,,,,
"",,Total District 10,870,31,85,9,6,0,12,0,47,3,2
"",,,,,,,,,,,,,
"",11-1,Frederick,424,44,483,6,4,0,0,0,21,0,1
"",11-2,Washington,386,128,583,21,11,0,6,0,165,28,1
"",,,,,,,,,,,,,
"",,Total District 11,810,172,"1,066",27,15,0,6,0,186,28,2
"",,,,,,,,,,,,,
"",12-1,Allegany,41,4,10,1,2,0,2,0,12,5,0
"",12-2,Garrett,9,6,2,1,1,0,0,0,0,0,0
"",,,,,,,,,,,,,
"",,Total District 12,50,10,12,2,3,0,2,0,12,5,0
